arm,tokens_per_step,correct,boxed,repeat4,progress,redundancy,coverage,correct_easy,correct_medium,correct_hard,boxed_easy,boxed_medium,boxed_hard,seconds
sft_only,1,0.175,0.2,0.3901083972840753,-0.19850919891055657,0.4661117173062294,0.5060014288483096,0.3,0.0,0.1,0.35,0.0,0.1,22032.032210826874
sft_only,2,0.15,0.2,0.563768897350309,-0.3615840905513294,0.5370935166089431,0.35084611727916115,0.3,0.0,0.0,0.35,0.0,0.1,10492.13794517517
sft_only,4,0.0,0.0,0.6600787207318518,-0.47045540686512693,0.5550968064860518,0.2374225282363774,0.0,0.0,0.0,0.0,0.0,0.0,4765.310997724533
sft_only,8,0.0,0.0,0.6147115789275809,-0.3992606422003786,0.6095480713582699,0.1896480301967421,0.0,0.0,0.0,0.0,0.0,0.0,2126.8360006809235
sft_only,16,0.0,0.0,0.4271663111892486,-0.46056357786288127,0.5799804797775701,0.1792929672925055,0.0,0.0,0.0,0.0,0.0,0.0,1003.0480589866638
sft_only,32,0.0,0.0,0.4808047785089845,-0.3162268631068879,0.5539274820738549,0.1837448040286528,0.0,0.0,0.0,0.0,0.0,0.0,543.6841442584991
